athlete_name,race_rank,round_number,shooting_accuracy,hits,total_shots,avg_shot_time,total_round_time,cognitive_load,shot_pattern
Thierry Langer,16,1,1.0,5,5,4.3,21.5,0.28852941176470587,54321
Thierry Langer,16,2,0.8,4,5,4.72,23.599999999999998,0.34952941176470587,54320
Thierry Langer,16,3,0.8,4,5,5.840000000000001,29.200000000000003,0.3871960784313725,54021
Thierry Langer,16,4,1.0,5,5,5.799999999999999,28.999999999999996,0.46352941176470586,54321
Philipp Nawrath,17,1,0.8,4,5,4.18,20.9,0.2912222222222222,12340
Philipp Nawrath,17,2,1.0,5,5,5.0,25.0,0.3388888888888889,12345
Philipp Nawrath,17,3,0.6,3,5,4.82,24.1,0.41988888888888887,54020
Philipp Nawrath,17,4,0.6,3,5,5.279999999999999,26.4,0.4795555555555555,00321
Fabien Claude,18,1,0.8,4,5,4.5,22.5,0.27938596491228074,04321
Fabien Claude,18,2,1.0,5,5,5.720000000000001,28.6,0.313719298245614,54321
Fabien Claude,18,3,0.6,3,5,4.540000000000001,22.700000000000003,0.42805263157894735,12300
Fabien Claude,18,4,0.4,2,5,6.139999999999999,30.699999999999996,0.4497192982456141,10300
Antonin Guigonnat,19,1,1.0,5,5,4.56,22.799999999999997,0.2763333333333333,12345
Antonin Guigonnat,19,2,1.0,5,5,5.22,26.099999999999998,0.3293333333333333,12345
Antonin Guigonnat,19,3,0.6,3,5,4.08,20.400000000000002,0.44233333333333336,54020
Antonin Guigonnat,19,4,0.6,3,5,3.9199999999999995,19.599999999999998,0.5226666666666666,50301
Martin Ponsiluoma,20,1,0.6,3,5,4.92,24.599999999999998,0.2633809523809524,54001
Martin Ponsiluoma,20,2,0.8,4,5,5.78,28.900000000000002,0.3097142857142857,54021
Martin Ponsiluoma,20,3,0.6,3,5,6.08,30.400000000000002,0.37471428571428567,04301
Martin Ponsiluoma,20,4,1.0,5,5,4.279999999999999,21.4,0.5097142857142857,54321
Johannes Dale-Skjevdal,21,1,0.8,4,5,5.12,25.6,0.2558484848484848,12305
Johannes Dale-Skjevdal,21,2,0.6,3,5,5.58,27.9,0.3155151515151515,02305
Johannes Dale-Skjevdal,21,3,0.6,3,5,4.46,22.3,0.4278484848484848,50320
Johannes Dale-Skjevdal,21,4,0.8,4,5,4.220000000000001,21.1,0.5108484848484848,54301
Johannes Kuehn,22,1,1.0,5,5,4.4399999999999995,22.2,0.2777246376811594,12345
Johannes Kuehn,22,2,0.8,4,5,5.72,28.599999999999998,0.31005797101449273,12045
Johannes Kuehn,22,3,0.4,2,5,5.24,26.2,0.4010579710144927,00340
Johannes Kuehn,22,4,0.6,3,5,4.6800000000000015,23.400000000000006,0.4947246376811594,10340
Tommaso Giacomel,23,1,0.8,4,5,5.119999999999999,25.599999999999998,0.25433333333333336,04321
Tommaso Giacomel,23,2,1.0,5,5,6.34,31.7,0.2886666666666666,54321
Tommaso Giacomel,23,3,0.2,1,5,3.88,19.4,0.44566666666666666,04000
Tommaso Giacomel,23,4,0.6,3,5,3.62,18.1,0.5293333333333333,50021
Dmytro Pidruchnyi,24,1,0.8,4,5,4.42,22.099999999999998,0.277,54021
Dmytro Pidruchnyi,24,2,0.8,4,5,4.82,24.1,0.3386666666666666,54021
Dmytro Pidruchnyi,24,3,0.8,4,5,3.9599999999999995,19.799999999999997,0.44233333333333336,50321
Dmytro Pidruchnyi,24,4,0.6,3,5,4.34,21.7,0.5046666666666667,05320
Philipp Horn,25,1,0.8,4,5,5.74,28.7,0.23238461538461536,02345
Philipp Horn,25,2,0.6,3,5,6.68,33.4,0.27605128205128204,02045
Philipp Horn,25,3,0.8,4,5,4.92,24.6,0.40971794871794864,02345
Philipp Horn,25,4,0.6,3,5,4.78,23.900000000000002,0.48938461538461536,12040
Campbell Wright,26,1,0.8,4,5,5.26,26.3,0.24781481481481482,54021
Campbell Wright,26,2,0.8,4,5,6.58,32.9,0.2788148148148148,04321
Campbell Wright,26,3,0.6,3,5,5.640000000000001,28.200000000000003,0.38514814814814813,50320
Campbell Wright,26,4,0.8,4,5,3.9800000000000004,19.900000000000002,0.5154814814814814,04321
Vitalii Mandzyn,27,1,0.8,4,5,5.919999999999999,29.599999999999994,0.2252857142857143,04321
Vitalii Mandzyn,27,2,0.8,4,5,5.12,25.6,0.32695238095238094,54301
Vitalii Mandzyn,27,3,1.0,5,5,4.54,22.7,0.42128571428571426,54321
Vitalii Mandzyn,27,4,0.6,3,5,4.659999999999999,23.299999999999997,0.4922857142857143,50320
Didier Bionaz,28,1,0.8,4,5,5.319999999999999,26.599999999999998,0.24479310344827587,02345
Didier Bionaz,28,2,1.0,5,5,6.160000000000001,30.800000000000004,0.2917931034482758,12345
Didier Bionaz,28,3,0.6,3,5,8.74,43.7,0.28079310344827585,05021
Didier Bionaz,28,4,0.2,1,5,5.8,29.0,0.45379310344827584,00020
Simon Eder,29,1,1.0,5,5,4.92,24.599999999999998,0.25766666666666665,12345
Simon Eder,29,2,1.0,5,5,5.42,27.099999999999998,0.316,12345
Simon Eder,29,3,0.8,4,5,4.42,22.1,0.42433333333333334,12340
Simon Eder,29,4,0.6,3,5,6.08,30.4,0.44399999999999995,12005
Joscha Burkhalter,30,1,0.8,4,5,4.72,23.599999999999998,0.2639032258064516,02345
Joscha Burkhalter,30,2,0.8,4,5,4.640000000000001,23.200000000000003,0.34156989247311825,02345
Joscha Burkhalter,30,3,0.8,4,5,4.500000000000001,22.500000000000004,0.4212365591397849,12305
Joscha Burkhalter,30,4,0.8,4,5,3.8,19.0,0.5195698924731182,10345
